character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed,content_availability
1,Ellie,The Last of Us Part II,2020,Naughty Dog,Sony Interactive Entertainment,AAA,Action-adventure,protagonist,playable,woman,lesbian,sexual_orientation,explicit_in_game; developer_confirmed,confirmed,no,none,"Relationship with Dina shown in narrative cutscenes, explicit in the dialogues",,/images/ellie.jpg,Naughty Dog / Sony Interactive Entertainment,,,,identified,high,,2026-08-23,
2,Lev,The Last of Us Part II,2020,Naughty Dog,Sony Interactive Entertainment,AAA,Action-adventure; Survival horror; Stealth; Third-person shooter,supporting_character,non_playable,trans_man,not_recorded,gender_identity; gender_expression,explicit_in_game; developer_confirmed; external_source,confirmed,race; age,Asian; Family / community context,"Source: The Official The Last of Us Podcast — Episode 7, published by Naughty Dog and produced by PlayStation: https://www.naughtydog.com/podcasts/thelastofus/en/ep-07

Interview with Ian Alexander and Neil Druckmann. It identifies Lev as a 13-year-old transgender teenager and discusses the religious context of his exile.: https://www.wired.com/story/untold-story-lev-the-last-of-us-part-ii-ian-alexander-neil-druckmann/

Identifies The Last of Us Part II as a game containing an explicitly transgender NPC and critically examines the narrative roles assigned to transgender supporting characters.: https://journals.sagepub.com/doi/10.1177/15554120221088118

Portuguese-language academic article that identifies Lev as a transgender adolescent and examines alterity, empathy, and LGBTQIA+ representation in the game.: https://ojs.uel.br/revistas/uel/index.php/dominiosdaimagem/article/view/43168

Supports the broad description of Lev and Yara as Asian American characters.: https://www.polygon.com/interviews/2020/7/31/21349647/last-of-us-part-2-ian-alexander-victoria-grace-lev-yara-voice-actors-interview-personal/

Supports the release year, platform, developer, publisher, and official genre information.: https://www.playstation.com/en-ca/games/the-last-of-us-part-ii/","Type: In-game scene/dialogue, Developer/publisher material, Developer/publisher material

Excerpt, scene, or explanation supporting the record:

Yara explains that Lev was assigned to become the wife of a Seraphite elder, although Lev wanted to occupy the masculine role of a soldier. Lev shaved his head, adopted his current name, and fled with Yara after the community rejected him.

During Lev and Abby’s journey, Seraphite enemies call Lev by his former name. Lev later asks Abby whether she wants to discuss what happened. Abby asks whether Lev wants to talk about it, and she respects his decision when he says that he does not.

In the official podcast, Ian Alexander discusses how Lev breaks with the rigidly gendered expectations of his religious upbringing because he can no longer live in a way that conflicts with his identity.

Lev’s transgender identity is central to part of his conflict, but it is not his only narrative characteristic. He is also an archer, survivor, younger brother, religious dissident, companion to Abby, and an important influence on Abby’s later decisions.

For the original 2020 campaign, classify Lev as a supporting character and non-playable ally controlled by the game’s artificial intelligence.",D:\Users\renan_7u2r05c\OneDrive\Documentos\queer-character-atlas-next\public\images\Lev.jpg,"Photo Mode capture by warrior_musa, via PlayStation Blog. The Last of Us Part II © Sony Interactive Entertainment LLC and Naughty Dog LLC.",https://blog.playstation.com/2020/07/17/share-of-the-week-the-last-of-us-part-ii-portraits/?utm_source=chatgpt.com,,Developer / publisher statement; Academic research; Press / media; Independent research; Official game material,reviewed,high,PlayStation 4,2026-08-26,main_campaign
3,Tyler Ronan,Tell Me Why,2020,Dontnod Entertainment,,AA,Narrative adventure,protagonist,playable,trans_man,gay,gender_identity; sexual_orientation,explicit_in_game,confirmed,no,Gay Trans character with socio-economic and family context,Narrative and character backstory,Highly explicit and integrated trans representation,,,,,,identified,high,PC,2026-08-23,
4,Michael,Tell Me Why,2020,Dontnod Entertainment,,AA,Narrative adventure,supporting_character,non_playable,man,gay,sexual_orientation,explicit_in_game,confirmed,yes,Race; Ethnicity; Indigenous or Two-Spirit; Person of Color,Narrative and character backstory,,,,,,,,,,,
5,Bloodhound,Apex Legends,2019,Respawn Entertainment,Electronic Arts,AAA,Battle royale; first-person shooter,none,playable,non_binary,not_recorded,gender_identity,not_explicit_in_game,confirmed,no,none,"according to their official bio, goes by they/them pronouns. The bio says the following: Bloodhound is known across the Outlands as one of the greatest game hunters the Frontier has ever seen - and that's about all anyone knows. Their identity is a mystery wrapped in layers of rumors: they are fabulously wealthy, a bloodthirsty murderer, a Goliath whisperer, a former slave, half bat, and a dozen other things depending on who's doing the whispering.",,,,,,,,,,,
6,Gibraltar,Apex Legends,2019,Respawn Entertainment,Electronic Arts,AAA,Battle royale; first-person shooter,none,playable,man,gay,sexual_orientation,not_explicit_in_game,not confirmed,yes,"Person of color, Black, Race",,,,,,,,,,,,
7,Chloe Price,Life is Strange,2015,Dontnod Entertainment,Square Enix; Feral Interactive; Black Wing Foundation,AAA; Indie,Narrative adventure,deuteragonist,playable,woman,lesbian,sexual_orientation,explicit_in_game,confirmed,no,none,"Chloe Price is the deuteragonist of Life is Strange. She is also the playable protagonist of Life is Strange: Before the Storm and is mentioned in Life is Strange 2. In both Life is Strange and Life is Strange: Before the Storm, she has possible romantic relationships with another female character. In Life is Strange, Max can romance Chloe, and in Life is Strange: Before the Storm, Chloe can romance Rachel. Although these relationships are determined by the player's choices, there are various parts of both games that hint at Chloe feeling romantic feelings towards Max and Rachel.",,,,,,,,,,,
8,Ash,Streets of Rage 3,1994,Sega,Sega,AAA,Beat 'em up,villain,non_playable,man,gay,sexual_orientation,not_explicit_in_game,not confirmed,"Race, Person of color",No details about his background,"https://lgbtqgamearchive.com/2015/08/26/ash-in-streets-of-rage-iii/
Ash. (n.d.). Retrieved from http://www.giantbomb.com/ash/3005-14272
Ash. (n.d.). Retrieved from http://bareknuckle.wikia.com/wiki/Ash
Buchanan, L. (2009, March 6). A History of Insensitivity. IGN. http://neon.stg.www.ign.com/articles/2009/03/06/a-history-of-insensitivity?page=2
MD Streets of Rage 3 (Bare Knuckle 3) Axel vs Ash. (n.d.). Retrieved from https://www.youtube.com/watch?v=DSdmG5D_5OI
Sexual moments in video games history – Bare Knuckles 3. (n.d.). Retrieved from http://www.i-mockery.com/minimocks/sexual-games/8.php
Streets of Rage 3. (n.d.). Retrieved from  http://en.wikipedia.org/wiki/Streets_of_Rage_3
vandald. (2011, April 28). Streets of Rage Remake – Ash part 1-5. YouTube. https://www.youtube.com/watch?v=9VodBRrU4Nw","One of the sub-bosses in Streets of Rage III (also released as Bare Knuckle III) is Ash, who is widely described as a very stereotypical gay character. He is dressed as a leather daddy, and wears the female/Venus symbol on a necklace. He was removed from the PAL and US versions of the game, but still accessible as a playable character through cheat codes. He is also, according to the poster of this video (https://www.youtube.com/watch?v=9VodBRrU4Nw), one of the stronger characters in the game, though a reader commented to use that: He’s stronger and faster than any other character. While Ash makes the game much easier, his moveset is very incomplete, though.” This commenter also noted that the video above is from a Streets of Rage Remake, which “drew new sprites for Ash, and thus gave him a full moveset.”

This Wikipedia page (https://en.wikipedia.org/wiki/LGBT_themes_in_video_games) also refers to Ash as transsexual villain, because he wears a venus symbol and games effeminate sounds. However, there is no evidence he identifies as female.",,,,,,reviewed,high,,2026-08-19,
9,Max Caulfield,Life is Strange,2015,Dontnod Entertainment,Square Enix,AAA; Indie,Graphic adventure,protagonist,playable,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/?p=12182,Playable protagonist whose possible romance with Chloe depends on player choices; the source describes her lesbian identity as implicit rather than explicitly labeled in the game.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
10,Rachel Amber,Life is Strange,2015,Dontnod Entertainment,Square Enix,AAA; Indie,Graphic adventure,supporting_character,non_playable,woman,bisexual,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/?p=12188,"Major character whose relationships with Chloe, Frank, and Jefferson support an implicit bisexual reading; she is an optional romance for Chloe in Before the Storm.",,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
